Energy 	 Vol 	 L
-5.66277e-19	1.1829e-26	2.2785e-09
-5.44354e-19	1.23225e-26	2.30976e-09
-5.62077e-19	1.22012e-26	2.30215e-09
-5.47174e-19	1.22774e-26	2.30694e-09
-5.62511e-19	1.23554e-26	2.31181e-09
-5.60897e-19	1.1921e-26	2.28439e-09
-5.58282e-19	1.16342e-26	2.26592e-09
-5.58619e-19	1.2242e-26	2.30472e-09
-5.5058e-19	1.22896e-26	2.3077e-09
-5.46896e-19	1.23778e-26	2.3132e-09
-5.38182e-19	1.25099e-26	2.3214e-09
-5.39517e-19	1.22633e-26	2.30605e-09
-5.30073e-19	1.29462e-26	2.34808e-09
-5.25737e-19	1.3002e-26	2.35146e-09
-5.28273e-19	1.26109e-26	2.32764e-09
-5.44559e-19	1.23406e-26	2.31088e-09
-5.36961e-19	1.24545e-26	2.31798e-09
-5.33562e-19	1.30473e-26	2.35418e-09
-5.3921e-19	1.24425e-26	2.31723e-09
-5.31531e-19	1.25921e-26	2.32648e-09
-5.36648e-19	1.26127e-26	2.32775e-09
-5.51591e-19	1.21569e-26	2.29937e-09
-5.39782e-19	1.22531e-26	2.30541e-09
-5.70798e-19	1.2017e-26	2.29051e-09
-5.55801e-19	1.24071e-26	2.31503e-09
-5.41929e-19	1.23785e-26	2.31325e-09
-5.57435e-19	1.21898e-26	2.30143e-09
-5.6394e-19	1.2513e-26	2.3216e-09
-5.66015e-19	1.2275e-26	2.30679e-09
-5.46537e-19	1.24847e-26	2.31985e-09
-5.43751e-19	1.28179e-26	2.34031e-09
-5.48583e-19	1.28097e-26	2.3398e-09
-5.5173e-19	1.28623e-26	2.343e-09
-5.42625e-19	1.3113e-26	2.35813e-09
-5.70172e-19	1.31356e-26	2.35948e-09
-5.58007e-19	1.30505e-26	2.35438e-09
-5.55988e-19	1.30183e-26	2.35244e-09
-5.66871e-19	1.30725e-26	2.3557e-09
-5.57962e-19	1.35038e-26	2.38133e-09
-5.58486e-19	1.32292e-26	2.36508e-09
-5.48925e-19	1.33691e-26	2.37338e-09
-5.43186e-19	1.34446e-26	2.37784e-09
-5.2949e-19	1.38663e-26	2.40245e-09
-5.24805e-19	1.40107e-26	2.41076e-09
-5.13279e-19	1.44814e-26	2.43746e-09
-5.03372e-19	1.52132e-26	2.47784e-09
-4.91299e-19	1.52327e-26	2.4789e-09
-5.06107e-19	1.451e-26	2.43906e-09
-5.23879e-19	1.44932e-26	2.43812e-09
-5.42573e-19	1.32253e-26	2.36484e-09
-5.43179e-19	1.35557e-26	2.38437e-09
-5.3911e-19	1.34374e-26	2.37741e-09
-5.40317e-19	1.382e-26	2.39977e-09
-5.22598e-19	1.40254e-26	2.4116e-09
-5.15851e-19	1.52826e-26	2.4816e-09
-5.24566e-19	1.47495e-26	2.45241e-09
-5.11799e-19	1.52544e-26	2.48008e-09
-5.18877e-19	1.4942e-26	2.46303e-09
-4.91211e-19	1.54085e-26	2.4884e-09
-4.89867e-19	1.62401e-26	2.53239e-09
-4.81764e-19	1.63593e-26	2.53857e-09
-4.87568e-19	1.57165e-26	2.50487e-09
-4.98137e-19	1.58283e-26	2.51079e-09
-4.99897e-19	1.55645e-26	2.49677e-09
-5.22765e-19	1.50703e-26	2.47006e-09
-5.34116e-19	1.48633e-26	2.4587e-09
-5.36342e-19	1.47687e-26	2.45347e-09
-5.15138e-19	1.56319e-26	2.50037e-09
-5.13564e-19	1.57223e-26	2.50518e-09
-4.98105e-19	1.58665e-26	2.51281e-09
-5.1369e-19	1.55292e-26	2.49488e-09
-5.30373e-19	1.5327e-26	2.484e-09
-5.20415e-19	1.54356e-26	2.48986e-09
-5.02688e-19	1.59857e-26	2.51909e-09
-5.07854e-19	1.6275e-26	2.5342e-09
-5.38076e-19	1.54778e-26	2.49213e-09
-5.36296e-19	1.5745e-26	2.50638e-09
-5.47342e-19	1.5847e-26	2.51178e-09
-5.34396e-19	1.61493e-26	2.52766e-09
-5.3007e-19	1.5898e-26	2.51447e-09
-5.07364e-19	1.64969e-26	2.54566e-09
-5.06875e-19	1.64969e-26	2.54566e-09
-5.12689e-19	1.71601e-26	2.57933e-09
-5.10303e-19	1.65267e-26	2.54719e-09
-5.04946e-19	1.61342e-26	2.52687e-09
-5.36098e-19	1.60051e-26	2.52011e-09
-5.38525e-19	1.64941e-26	2.54552e-09
-5.3298e-19	1.66924e-26	2.55568e-09
-5.12065e-19	1.68666e-26	2.56454e-09
-5.26489e-19	1.61555e-26	2.52798e-09
-5.29913e-19	1.64491e-26	2.5432e-09
-5.55718e-19	1.53008e-26	2.48259e-09
-5.31961e-19	1.55189e-26	2.49433e-09
-5.14872e-19	1.61436e-26	2.52736e-09
-5.21968e-19	1.64723e-26	2.5444e-09
-5.12141e-19	1.72439e-26	2.58352e-09
-5.26227e-19	1.59264e-26	2.51597e-09
-5.32206e-19	1.50863e-26	2.47093e-09
-5.48404e-19	1.56021e-26	2.49878e-09
-5.37842e-19	1.56606e-26	2.5019e-09
-5.22262e-19	1.63171e-26	2.53638e-09
-5.27174e-19	1.60281e-26	2.52132e-09
-5.41736e-19	1.55722e-26	2.49718e-09
-5.52755e-19	1.49774e-26	2.46497e-09
-5.51642e-19	1.50639e-26	2.46971e-09
-5.61943e-19	1.46556e-26	2.44719e-09
-5.86192e-19	1.47507e-26	2.45247e-09
-5.46705e-19	1.49972e-26	2.46606e-09
-5.52945e-19	1.45554e-26	2.4416e-09
-5.44739e-19	1.51742e-26	2.47572e-09
-5.39949e-19	1.50081e-26	2.46666e-09
-5.32628e-19	1.56649e-26	2.50212e-09
-5.35317e-19	1.51997e-26	2.47711e-09
-5.25435e-19	1.57103e-26	2.50454e-09
-5.4913e-19	1.51245e-26	2.47301e-09
-5.51608e-19	1.48725e-26	2.4592e-09
-5.46302e-19	1.47655e-26	2.45329e-09
-5.42625e-19	1.49984e-26	2.46613e-09
-5.77505e-19	1.45105e-26	2.43909e-09
-5.70065e-19	1.51896e-26	2.47656e-09
-5.63085e-19	1.60759e-26	2.52382e-09
-5.71385e-19	1.57135e-26	2.50471e-09
-5.71627e-19	1.55795e-26	2.49757e-09
-5.70603e-19	1.50684e-26	2.46996e-09
-5.69414e-19	1.52797e-26	2.48144e-09
-5.71795e-19	1.54887e-26	2.49271e-09
-5.71391e-19	1.57834e-26	2.50842e-09
-5.78849e-19	1.5197e-26	2.47696e-09
-5.89951e-19	1.53397e-26	2.48469e-09
-5.84554e-19	1.56957e-26	2.50377e-09
-6.01995e-19	1.52001e-26	2.47713e-09
-5.80561e-19	1.58555e-26	2.51223e-09
-5.9227e-19	1.57845e-26	2.50848e-09
-5.84158e-19	1.59725e-26	2.5184e-09
-5.80747e-19	1.5903e-26	2.51474e-09
-5.70472e-19	1.62674e-26	2.5338e-09
-5.44645e-19	1.7296e-26	2.58612e-09
-5.42872e-19	1.62695e-26	2.53391e-09
-5.62323e-19	1.62876e-26	2.53485e-09
-5.66271e-19	1.62197e-26	2.53132e-09
-5.55709e-19	1.62201e-26	2.53135e-09
-5.36219e-19	1.74193e-26	2.59225e-09
-5.23866e-19	1.79193e-26	2.61682e-09
-5.02265e-19	1.76402e-26	2.60316e-09
-5.21298e-19	1.8075e-26	2.62438e-09
-5.19399e-19	1.80539e-26	2.62335e-09
-5.41939e-19	1.80455e-26	2.62295e-09
-5.46433e-19	1.76139e-26	2.60187e-09
-5.49869e-19	1.76544e-26	2.60386e-09
-5.82066e-19	1.66176e-26	2.55186e-09
-5.84509e-19	1.66176e-26	2.55186e-09
-5.86161e-19	1.67615e-26	2.5592e-09
-5.86639e-19	1.67848e-26	2.56039e-09
-5.71596e-19	1.72414e-26	2.58339e-09
-5.69392e-19	1.75042e-26	2.59646e-09
-5.55409e-19	1.80841e-26	2.62482e-09
-5.55935e-19	1.78985e-26	2.61581e-09
-5.76118e-19	1.72493e-26	2.58379e-09
-5.66756e-19	1.76557e-26	2.60393e-09
-5.45395e-19	1.80048e-26	2.62097e-09
-5.54806e-19	1.81983e-26	2.63033e-09
-5.2768e-19	1.90784e-26	2.67207e-09
-5.50017e-19	1.87871e-26	2.6584e-09
-5.35021e-19	1.92247e-26	2.67888e-09
-5.56036e-19	1.86976e-26	2.65417e-09
-5.41768e-19	1.88614e-26	2.6619e-09
-5.24322e-19	1.99579e-26	2.71251e-09
-5.20729e-19	2.0123e-26	2.71997e-09
-5.34263e-19	1.9686e-26	2.70014e-09
-5.44769e-19	1.92222e-26	2.67876e-09
-5.35771e-19	1.92222e-26	2.67876e-09
-5.30972e-19	2.04414e-26	2.73424e-09
-5.47877e-19	1.97629e-26	2.70365e-09
-5.5494e-19	1.95866e-26	2.69559e-09
-5.52501e-19	1.93223e-26	2.68341e-09
-5.6413e-19	1.92348e-26	2.67935e-09
-5.56305e-19	1.97212e-26	2.70175e-09
-5.45446e-19	1.92671e-26	2.68085e-09
-5.71307e-19	1.88439e-26	2.66107e-09
-5.52296e-19	1.97918e-26	2.70496e-09
-5.43389e-19	1.94757e-26	2.69049e-09
-5.66256e-19	1.92563e-26	2.68035e-09
-5.79572e-19	1.92364e-26	2.67942e-09
-5.81811e-19	1.93069e-26	2.68269e-09
-5.5462e-19	1.93238e-26	2.68347e-09
-5.69753e-19	1.88617e-26	2.66191e-09
-5.70029e-19	1.91442e-26	2.67514e-09
-5.59774e-19	1.94189e-26	2.68787e-09
-5.63865e-19	1.96744e-26	2.69961e-09
-5.57992e-19	1.98364e-26	2.707e-09
-5.39337e-19	2.0344e-26	2.72989e-09
-5.27817e-19	2.01691e-26	2.72205e-09
-5.22798e-19	2.02318e-26	2.72486e-09
-5.1082e-19	1.99486e-26	2.71209e-09
-5.38733e-19	2.04283e-26	2.73366e-09
-5.35334e-19	2.05483e-26	2.739e-09
-5.48248e-19	2.0015e-26	2.7151e-09
-5.4084e-19	2.04529e-26	2.73475e-09
-5.25655e-19	2.11605e-26	2.76594e-09
-5.50255e-19	2.12181e-26	2.76844e-09
-5.40473e-19	2.12498e-26	2.76982e-09
-5.35974e-19	2.16027e-26	2.78507e-09
-5.32496e-19	2.19933e-26	2.80175e-09
-5.39595e-19	2.18962e-26	2.79763e-09
-5.32656e-19	2.09864e-26	2.75833e-09
-5.38919e-19	2.13239e-26	2.77304e-09
-5.48523e-19	2.05556e-26	2.73932e-09
-5.69997e-19	2.04625e-26	2.73518e-09
-5.67922e-19	2.09918e-26	2.75856e-09
-5.74277e-19	2.00505e-26	2.7167e-09
-5.53713e-19	2.04304e-26	2.73375e-09
-5.41021e-19	2.05902e-26	2.74086e-09
-5.31264e-19	2.08768e-26	2.75352e-09
-5.40311e-19	2.18898e-26	2.79735e-09
-5.45952e-19	2.1578e-26	2.78401e-09
-5.31584e-19	2.27146e-26	2.83205e-09
-5.30265e-19	2.23823e-26	2.81818e-09
-5.28515e-19	2.28237e-26	2.83658e-09
-5.44751e-19	2.25044e-26	2.82329e-09
-5.27087e-19	2.27018e-26	2.83152e-09
-5.38388e-19	2.21979e-26	2.81041e-09
-5.4153e-19	2.23327e-26	2.81609e-09
-5.31972e-19	2.28682e-26	2.83842e-09
-5.58638e-19	2.12433e-26	2.76954e-09
-5.42774e-19	2.15097e-26	2.78107e-09
-5.45393e-19	2.17231e-26	2.79024e-09
-5.43778e-19	2.14553e-26	2.77872e-09
-5.5756e-19	2.18764e-26	2.79678e-09
-5.7025e-19	2.11731e-26	2.76648e-09
-5.62063e-19	2.12932e-26	2.77171e-09
-5.54444e-19	2.10246e-26	2.76e-09
-5.76289e-19	1.96269e-26	2.69743e-09
-5.82118e-19	1.9567e-26	2.69469e-09
-5.63259e-19	2.05343e-26	2.73838e-09
-5.74142e-19	2.04214e-26	2.73335e-09
-5.60206e-19	2.10739e-26	2.76216e-09
-5.49742e-19	2.10032e-26	2.75906e-09
-5.53561e-19	2.11816e-26	2.76685e-09
-5.75458e-19	2.03991e-26	2.73235e-09
-5.66045e-19	2.06077e-26	2.74164e-09
-5.61385e-19	2.1042e-26	2.76076e-09
-5.59993e-19	2.09134e-26	2.75513e-09
-5.55191e-19	2.11871e-26	2.76709e-09
-5.30471e-19	2.20474e-26	2.80405e-09
-5.47071e-19	2.0766e-26	2.74864e-09
-5.3833e-19	2.1608e-26	2.7853e-09
-5.57275e-19	2.11629e-26	2.76604e-09
-5.58374e-19	2.08999e-26	2.75453e-09
-5.36725e-19	2.17961e-26	2.79336e-09
-5.61405e-19	2.15594e-26	2.78321e-09
-5.3879e-19	2.13084e-26	2.77237e-09
-5.6512e-19	2.04584e-26	2.735e-09
-5.57475e-19	2.08152e-26	2.75081e-09
-5.50232e-19	2.15952e-26	2.78475e-09
-5.47906e-19	2.11736e-26	2.76651e-09
-5.45941e-19	2.16602e-26	2.78754e-09
-5.50841e-19	2.20708e-26	2.80504e-09
-5.68929e-19	2.11955e-26	2.76746e-09
-5.74186e-19	2.0476e-26	2.73578e-09
-5.71559e-19	2.10994e-26	2.76327e-09
-5.60957e-19	2.01384e-26	2.72067e-09
-5.61428e-19	2.08713e-26	2.75328e-09
-5.71838e-19	2.06647e-26	2.74416e-09
-5.70385e-19	2.01246e-26	2.72004e-09
-5.86414e-19	1.98527e-26	2.70774e-09
-5.54853e-19	2.00533e-26	2.71683e-09
-5.87883e-19	1.96956e-26	2.70057e-09
-5.76492e-19	1.98613e-26	2.70813e-09
-5.86635e-19	1.96973e-26	2.70065e-09
-5.96484e-19	1.91012e-26	2.67313e-09
-5.80181e-19	1.91847e-26	2.67702e-09
-5.86235e-19	1.9454e-26	2.68949e-09
-5.75251e-19	1.90633e-26	2.67136e-09
-5.93184e-19	1.84949e-26	2.64454e-09
-5.83735e-19	1.90705e-26	2.6717e-09
-5.88663e-19	1.88051e-26	2.65924e-09
-5.83839e-19	1.95763e-26	2.69511e-09
-5.73819e-19	1.92689e-26	2.68093e-09
-5.86364e-19	1.93725e-26	2.68573e-09
-5.7487e-19	1.8975e-26	2.66723e-09
-5.83277e-19	1.96126e-26	2.69678e-09
-5.64388e-19	1.99995e-26	2.71439e-09
-5.53417e-19	2.05985e-26	2.74123e-09
-5.6417e-19	2.0746e-26	2.74776e-09
-5.69815e-19	2.11874e-26	2.76711e-09
-5.78501e-19	2.04877e-26	2.73631e-09
-6.03445e-19	1.96418e-26	2.69811e-09
-5.91809e-19	1.90756e-26	2.67193e-09
-5.99454e-19	1.92054e-26	2.67798e-09
-5.86188e-19	2.0009e-26	2.71483e-09
-5.92732e-19	2.02074e-26	2.72377e-09
-6.01739e-19	2.05318e-26	2.73827e-09
-6.14016e-19	2.0433e-26	2.73387e-09
-5.92499e-19	2.04035e-26	2.73255e-09
-6.23979e-19	1.97117e-26	2.70131e-09
-5.97338e-19	1.93446e-26	2.68444e-09
-5.98808e-19	1.96421e-26	2.69813e-09
-5.86855e-19	2.00539e-26	2.71685e-09
-5.87713e-19	2.03475e-26	2.73005e-09
-5.7771e-19	2.15162e-26	2.78135e-09
-5.60152e-19	2.14024e-26	2.77644e-09
-5.51635e-19	2.11038e-26	2.76346e-09
-5.6267e-19	2.16885e-26	2.78875e-09
-5.4687e-19	2.21361e-26	2.8078e-09
-5.59716e-19	2.1405e-26	2.77655e-09
-5.51777e-19	2.14849e-26	2.78e-09
-5.48153e-19	2.20794e-26	2.80541e-09
-5.3214e-19	2.18522e-26	2.79575e-09
-5.42444e-19	2.18182e-26	2.7943e-09
-5.48763e-19	2.12808e-26	2.77117e-09
-5.62269e-19	1.99694e-26	2.71303e-09
-5.68031e-19	1.9647e-26	2.69835e-09
-5.76444e-19	1.9695e-26	2.70055e-09
-5.77088e-19	1.90695e-26	2.67165e-09
-5.97742e-19	1.86988e-26	2.65422e-09
-6.0389e-19	1.88454e-26	2.66114e-09
-5.91252e-19	1.88346e-26	2.66063e-09
-6.02951e-19	1.88522e-26	2.66146e-09
-6.16776e-19	1.82279e-26	2.63176e-09
-6.29876e-19	1.77828e-26	2.61016e-09
-6.1478e-19	1.74244e-26	2.5925e-09
-5.89963e-19	1.84539e-26	2.64259e-09
-5.9192e-19	1.80267e-26	2.62204e-09
-5.88345e-19	1.87275e-26	2.65558e-09
-5.9994e-19	1.82996e-26	2.6352e-09
-5.86727e-19	1.84499e-26	2.6424e-09
-5.72004e-19	1.82151e-26	2.63114e-09
-5.68148e-19	1.90877e-26	2.6725e-09
-5.58472e-19	1.86024e-26	2.64965e-09
-5.75053e-19	1.90272e-26	2.66967e-09
-5.84815e-19	1.87633e-26	2.65728e-09
-5.7812e-19	1.85673e-26	2.64799e-09
-5.69637e-19	1.88734e-26	2.66246e-09
-5.84295e-19	1.87e-26	2.65428e-09
-5.6575e-19	1.91783e-26	2.67672e-09
-5.55395e-19	1.99313e-26	2.71131e-09
-5.69738e-19	1.98861e-26	2.70926e-09
-5.86444e-19	1.8671e-26	2.65291e-09
-5.83332e-19	1.8671e-26	2.65291e-09
-5.73853e-19	1.99988e-26	2.71436e-09
-5.59096e-19	2.00504e-26	2.7167e-09
-5.81319e-19	1.97273e-26	2.70202e-09
-5.80249e-19	1.99568e-26	2.71246e-09
-5.85277e-19	1.89907e-26	2.66797e-09
-5.78337e-19	1.91678e-26	2.67623e-09
-5.95032e-19	1.93771e-26	2.68594e-09
-5.85791e-19	1.94289e-26	2.68833e-09
-5.77363e-19	1.93286e-26	2.6837e-09
-5.80707e-19	1.90745e-26	2.67188e-09
-6.14083e-19	1.83757e-26	2.63885e-09
-6.05546e-19	1.7777e-26	2.60988e-09
-6.10269e-19	1.7895e-26	2.61563e-09
-6.15798e-19	1.80179e-26	2.62161e-09
-6.02535e-19	1.83686e-26	2.63851e-09
-6.18884e-19	1.78727e-26	2.61455e-09
-6.33352e-19	1.76668e-26	2.60447e-09
-6.16044e-19	1.80991e-26	2.62554e-09
-5.9404e-19	1.91674e-26	2.67622e-09
-6.01591e-19	1.85372e-26	2.64656e-09
-6.10939e-19	1.87166e-26	2.65507e-09
-6.07484e-19	1.87289e-26	2.65565e-09
-5.85581e-19	1.92955e-26	2.68216e-09
-6.079e-19	1.92955e-26	2.68216e-09
-6.18931e-19	1.96627e-26	2.69907e-09
-6.11714e-19	1.94593e-26	2.68973e-09
-6.26854e-19	1.91793e-26	2.67677e-09
-6.21761e-19	1.91793e-26	2.67677e-09
-6.16056e-19	1.85945e-26	2.64928e-09
-6.0577e-19	1.91607e-26	2.6759e-09
-6.1449e-19	1.91607e-26	2.6759e-09
-6.17132e-19	1.929e-26	2.68191e-09
-5.89239e-19	2.01031e-26	2.71907e-09
-5.93605e-19	2.0265e-26	2.72636e-09
-6.20935e-19	1.95978e-26	2.6961e-09
-6.09391e-19	1.88413e-26	2.66095e-09
-6.14716e-19	1.84938e-26	2.64449e-09
-6.00958e-19	1.94509e-26	2.68935e-09
-6.18269e-19	1.92285e-26	2.67905e-09
-5.9047e-19	1.96368e-26	2.69788e-09
-6.10315e-19	1.98664e-26	2.70836e-09
